battery_power,px_height,px_width,ram,price_range,C1_pred,C2_prob,Ano,Mes,Mes_Numero,satisfacao,pontuacao,pontuacao_geral,indice_qualidade_preco,legenda_price_range,legenda_satisfacao
1269,406,1036,2341,2,2,88,2019,Outubro,10,3,2660.6900000000005,1,2,alto,alta
1358,1485,1655,3406,2,2,99,2022,Abril,4,2,3958.44,2,2,alto,media
635,599,1299,2452,2,1,39,2022,Agosto,8,2,2725.13,1,2,alto,media
1160,762,859,595,1,1,0,2021,Setembro,9,3,1060.5500000000002,1,2,baixo,alta
1760,273,1704,2549,2,2,99,2022,Setembro,9,2,3049.6499999999996,2,2,alto,media
1345,512,1465,1322,1,1,0,2022,Setembro,9,1,1837.18,1,1,baixo,pouco
890,1074,1873,751,1,1,0,2022,Janeiro,1,1,1398.47,1,1,baixo,pouco
809,1453,1726,1274,1,1,0,2022,Julho,7,2,1900.7400000000002,1,1,baixo,media
718,662,997,1601,1,1,0,2021,Julho,7,3,1911.31,1,2,baixo,alta
1806,347,727,3142,2,2,99,2019,Abril,4,2,3430.9000000000005,2,2,alto,media
1811,204,1132,348,1,1,0,2020,Novembro,11,3,914.01,1,2,baixo,alta
1732,824,881,1308,1,1,0,2023,Dezembro,12,1,1839.91,1,1,baixo,pouco
823,822,1449,905,1,1,0,2019,Junho,6,2,1404.02,1,1,baixo,media
1462,91,1478,824,1,1,0,2021,Março,3,3,1332.15,1,2,baixo,alta
1588,146,822,2506,2,2,99,2022,Março,3,3,2788.24,1,2,alto,alta
928,221,1243,666,1,1,0,2022,Março,3,1,1062.78,1,1,baixo,pouco
1880,71,699,3333,2,2,99,2023,Abril,4,2,3568.44,2,2,alto,media
1768,1303,1814,3256,2,2,99,2022,Agosto,8,1,3897.61,2,2,alto,pouco
965,130,998,1138,1,1,0,2020,Julho,7,3,1442.03,1,2,baixo,alta
1993,150,510,2437,2,2,99,2020,Outubro,10,1,2743.11,1,1,alto,pouco
1254,1571,1956,606,1,1,0,2019,Abril,4,3,1434.49,1,2,baixo,alta
1185,837,1642,2447,2,2,99,2020,Março,3,3,2930.6600000000003,1,2,alto,alta
534,393,1199,3926,2,2,99,2019,Setembro,9,2,4008.0,2,2,alto,media
547,371,541,2705,1,1,1,2022,Junho,6,2,2758.39,1,1,baixo,media
1928,691,1580,3777,2,2,99,2023,Agosto,8,1,4258.83,2,2,alto,pouco
1020,870,1613,1142,1,1,0,2021,Julho,7,3,1698.8100000000002,1,2,baixo,alta
1944,1111,1362,2560,2,2,99,2023,Março,3,1,3172.21,2,2,alto,pouco
1918,1170,1543,1717,2,2,99,2020,Fevereiro,2,1,2436.13,1,1,alto,pouco
1654,1184,1719,1070,1,1,0,2022,Junho,6,2,1826.5500000000002,1,1,baixo,media
1310,806,1016,1301,1,1,0,2022,Maio,5,3,1775.88,1,2,baixo,alta
1726,1221,1804,1868,2,2,99,2023,Novembro,11,2,2596.83,1,2,alto,media
535,710,939,2674,2,2,73,2021,Abril,4,1,2860.84,1,1,alto,pouco
1825,1621,1773,3130,2,2,99,2023,Junho,6,3,3838.79,2,2,alto,alta
730,1371,1677,2787,2,2,99,2020,Dezembro,12,1,3254.44,2,2,alto,pouco
1339,212,1269,2382,2,2,98,2022,Setembro,9,2,2723.0,1,2,alto,media
1028,1801,1923,1424,1,1,2,2021,Dezembro,12,2,2176.94,1,1,baixo,media
1092,468,571,737,1,1,0,2019,Abril,4,2,1073.5700000000002,1,1,baixo,media
1066,53,1504,1044,1,1,0,2019,Dezembro,12,2,1457.79,1,1,baixo,media
837,638,1831,594,1,1,0,2022,Novembro,11,2,1161.8600000000001,1,1,baixo,media
1680,679,1231,1459,1,1,0,2020,Dezembro,12,1,2010.8,1,1,baixo,pouco
618,1314,1688,1051,1,1,0,2021,Junho,6,2,1628.44,1,1,baixo,media
874,442,1248,582,1,1,0,2023,Julho,7,3,1013.76,1,2,baixo,alta
1742,1134,1469,1947,2,2,99,2019,Agosto,8,1,2594.11,1,1,alto,pouco
1263,178,1883,1183,1,1,0,2019,Agosto,8,2,1716.3600000000001,1,1,baixo,media
797,888,1466,2052,1,1,2,2022,Maio,5,1,2468.7700000000004,1,1,baixo,pouco
1661,536,861,591,1,1,0,2021,Junho,6,1,1114.02,1,1,baixo,pouco
1483,361,1552,1587,1,1,0,2023,Abril,4,1,2098.06,1,1,baixo,pouco
1671,263,848,2336,2,2,98,2020,Setembro,9,2,2672.4399999999996,1,2,alto,media
1206,1581,1713,1825,2,2,98,2019,Junho,6,2,2502.38,1,2,alto,media
1603,430,1207,1637,1,1,0,2021,Janeiro,1,3,2113.04,1,2,baixo,alta
1831,437,1113,2460,2,2,99,2022,Março,3,1,2896.8500000000004,1,1,alto,pouco
709,119,1531,3568,2,2,99,2020,Junho,6,2,3728.39,2,2,alto,media
1175,137,1501,3153,2,2,99,2021,Dezembro,12,1,3432.4900000000002,2,2,alto,pouco
1135,690,1589,3204,2,2,99,2020,Janeiro,1,3,3582.5400000000004,2,2,alto,alta
1191,42,807,824,1,1,0,2022,Abril,4,1,1144.8400000000001,1,1,baixo,pouco
1800,191,1108,656,1,1,0,2022,Abril,4,2,1188.51,1,1,baixo,media
852,683,1349,315,1,1,0,2022,Abril,4,3,824.0999999999999,1,2,baixo,alta
1571,805,956,586,1,1,0,2022,Julho,7,2,1156.1,1,1,baixo,media
644,1140,1654,2382,2,2,99,2020,Setembro,9,1,2821.86,1,1,alto,pouco
1271,613,650,990,1,1,0,2021,Julho,7,2,1380.0,1,1,baixo,media
1177,178,882,311,1,1,0,2022,Janeiro,1,1,707.59,1,1,baixo,pouco
714,643,1527,2302,1,1,38,2021,Março,3,3,2652.94,1,2,baixo,alta
713,1048,1123,928,1,1,0,2019,Julho,7,1,1380.76,1,1,baixo,pouco
1157,1694,1798,2885,2,2,99,2023,Fevereiro,2,3,3503.63,2,2,alto,alta
1308,59,1215,3355,2,2,99,2023,Junho,6,3,3576.0,2,2,alto,alta
1058,493,1247,418,1,1,0,2019,Julho,7,3,906.3199999999999,1,2,baixo,alta
793,1226,1815,3139,2,2,99,2021,Fevereiro,2,3,3591.82,2,2,alto,alta
787,806,1423,2934,2,2,99,2023,Maio,5,2,3256.2000000000003,2,2,alto,media
1034,707,1199,3625,2,2,99,2022,Janeiro,1,1,3879.46,2,2,alto,pouco
574,286,1171,3269,2,2,99,2023,Junho,6,3,3387.65,2,2,alto,alta
1607,776,1005,885,1,1,0,2021,Março,3,2,1442.4,1,1,baixo,media
1254,462,1013,3959,2,2,99,2023,Outubro,10,1,4151.55,2,2,alto,pouco
1355,651,891,880,1,1,0,2020,Abril,4,1,1347.01,1,1,baixo,pouco
1628,412,643,3361,2,2,99,2023,Abril,4,1,3593.6500000000005,2,2,alto,pouco
1583,275,862,3652,2,2,99,2019,Agosto,8,2,3871.1400000000003,2,2,alto,media
1404,1703,1880,1196,1,1,0,2023,Janeiro,1,2,2013.79,1,1,baixo,media
1489,923,1759,1663,1,1,47,2022,Fevereiro,2,3,2303.99,1,2,baixo,alta
1572,577,1237,3461,2,2,99,2019,Julho,7,2,3815.92,2,2,alto,media
1765,835,1175,3695,2,2,99,2021,Junho,6,1,4099.95,2,2,alto,pouco
1266,346,1468,2532,2,2,99,2023,Março,3,1,2907.7200000000003,1,1,alto,pouco
1762,1103,1364,2183,2,2,99,2021,Março,3,1,2789.8100000000004,1,1,alto,pouco
727,664,711,3654,2,2,99,2021,Novembro,11,1,3747.78,2,2,alto,pouco
1576,400,631,336,1,1,0,2019,Agosto,8,1,796.45,1,1,baixo,pouco
1433,281,799,258,1,1,0,2019,Outubro,10,1,709.21,1,1,baixo,pouco
1356,1612,1983,3702,2,2,99,2022,Março,3,2,4314.29,2,2,alto,media
1053,419,1261,1339,1,1,0,2021,Junho,6,2,1742.77,1,1,baixo,media
831,172,1239,1075,1,1,0,2022,Junho,6,2,1411.54,1,1,baixo,media
1550,268,832,2338,2,2,94,2023,Março,3,2,2649.1,1,2,alto,media
1646,1725,1932,3339,2,2,99,2020,Abril,4,2,4044.95,2,2,alto,media
1925,983,1087,2173,2,2,99,2023,Janeiro,1,3,2738.55,1,2,alto,alta
1589,1673,1759,3970,2,2,99,2019,Setembro,9,1,4572.93,2,2,alto,pouco
1225,759,1404,3836,2,2,99,2023,Agosto,8,1,4157.66,2,2,alto,pouco
1868,347,660,3131,2,2,99,2023,Agosto,8,3,3419.83,2,2,alto,alta
627,447,819,2476,1,1,0,2020,Janeiro,1,3,2628.65,1,2,baixo,alta
1035,757,1912,3548,2,2,99,2019,Setembro,9,2,3952.7800000000007,2,2,alto,media
1531,625,765,2524,2,2,99,2020,Dezembro,12,2,2864.5699999999997,1,2,alto,media
1656,320,899,2856,2,2,99,2020,Junho,6,2,3167.37,2,2,alto,media
1658,410,522,3483,2,2,99,2019,Junho,6,2,3688.26,2,2,alto,media
1148,606,688,3127,2,2,99,2019,Maio,5,3,3328.7000000000003,2,2,alto,alta
1709,956,1292,1781,2,2,86,2022,Janeiro,1,2,2371.23,1,2,alto,media
1564,1259,1965,1496,1,2,81,2023,Fevereiro,2,1,2260.86,1,1,baixo,pouco
894,158,747,3305,2,2,99,2021,Janeiro,1,2,3379.25,2,2,alto,media
864,663,1805,1904,1,1,0,2019,Outubro,10,1,2371.5,1,1,baixo,pouco
1265,275,687,1518,1,1,0,2020,Agosto,8,2,1814.19,1,1,baixo,media
1558,322,1385,878,1,1,0,2022,Setembro,9,3,1421.67,1,2,baixo,alta
1339,833,1441,867,1,1,0,2019,Janeiro,1,3,1467.4499999999998,1,2,baixo,alta
1969,332,764,315,1,1,0,2021,Junho,6,3,865.51,1,2,baixo,alta
1469,1699,1850,1571,2,2,98,2022,Agosto,8,3,2364.76,1,2,alto,alta
989,614,679,2819,2,2,99,2021,Setembro,9,3,3014.78,2,2,alto,alta
1527,526,1116,2078,2,2,77,2020,Outubro,10,2,2503.35,1,2,alto,media
1042,68,1018,2826,2,2,99,2019,Setembro,9,2,3002.88,2,2,alto,media
984,531,707,841,1,1,0,2022,Maio,5,2,1185.2800000000002,1,1,baixo,media
1136,961,1030,3210,2,2,99,2020,Maio,5,1,3528.1100000000006,2,2,alto,pouco
946,273,891,1637,1,1,0,2020,Junho,6,2,1901.48,1,1,baixo,media
1945,280,895,3015,2,2,99,2022,Janeiro,1,2,3361.0,2,2,alto,media
1856,277,1155,2052,2,2,96,2023,Novembro,11,3,2507.0200000000004,1,2,alto,alta
1824,50,1105,3958,2,2,99,2023,Novembro,11,2,4206.37,2,2,alto,media
1735,149,876,2392,2,2,99,2022,Janeiro,1,3,2722.06,1,2,alto,alta
1872,1749,1767,724,1,1,0,2020,Novembro,11,1,1654.8200000000002,1,1,baixo,pouco
1182,275,986,2563,2,2,98,2022,Agosto,8,3,2816.63,1,2,alto,alta
999,20,745,1344,1,1,0,2021,Agosto,8,3,1571.24,1,2,baixo,alta
1425,150,1897,590,1,1,0,2021,Agosto,8,2,1199.48,1,1,baixo,media
501,504,1089,2346,1,1,0,2022,Agosto,8,3,2546.1000000000004,1,2,baixo,alta
1536,22,1634,2020,2,2,63,2020,Dezembro,12,2,2464.44,1,2,alto,media
1156,1214,1262,1796,1,1,2,2020,Agosto,8,1,2318.1200000000003,1,1,baixo,pouco
856,395,1027,2439,1,1,17,2023,Outubro,10,2,2668.8,1,1,baixo,media
1341,473,574,2200,1,1,2,2020,Abril,4,2,2468.26,1,1,baixo,media
1189,79,615,841,1,1,0,2022,Fevereiro,2,3,1129.91,1,2,baixo,alta
1203,35,510,1672,1,1,0,2023,Setembro,9,1,1869.6599999999999,1,1,baixo,pouco
1251,308,591,1052,1,1,0,2023,Janeiro,1,3,1370.18,1,2,baixo,alta
1892,1399,1564,2172,2,2,99,2022,Fevereiro,2,2,2892.71,1,2,alto,media
1395,213,705,2571,2,2,98,2023,Dezembro,12,1,2800.53,1,1,alto,pouco
1839,475,1493,927,1,1,0,2023,Junho,6,1,1566.67,1,1,baixo,pouco
1280,356,588,2335,1,1,10,2022,Novembro,11,1,2563.6400000000003,1,1,baixo,pouco
1421,781,1657,2775,2,2,99,2023,Fevereiro,2,1,3270.59,2,2,alto,pouco
553,1287,1892,3300,2,2,99,2021,Outubro,10,3,3719.34,2,2,alto,alta
865,805,1804,2361,2,2,99,2021,Setembro,9,1,2816.08,1,1,alto,pouco
1303,1335,1873,2219,2,2,99,2021,Julho,7,3,2871.87,1,2,alto,alta
1791,371,682,594,1,1,0,2021,Julho,7,3,1079.42,1,2,baixo,alta
1945,743,1753,732,1,1,0,2020,Abril,4,2,1502.3700000000001,1,1,baixo,media
888,327,1683,3407,2,2,99,2021,Abril,4,2,3678.52,2,2,alto,media
1100,919,1344,757,1,1,0,2022,Maio,5,3,1317.0300000000002,1,2,baixo,alta
1647,193,1185,2532,2,2,99,2021,Novembro,11,3,2900.33,1,2,alto,alta
1546,91,1317,3521,2,2,99,2019,Outubro,10,1,3798.76,2,2,alto,pouco
1653,447,1785,3955,2,2,99,2022,Fevereiro,2,1,4367.81,2,2,alto,pouco
1277,309,1460,3559,2,2,99,2019,Agosto,8,2,3846.84,2,2,alto,media
1685,120,1429,881,1,1,0,2022,Abril,4,2,1422.58,1,1,baixo,media
902,364,1360,3654,2,2,99,2021,Novembro,11,1,3853.34,2,2,alto,pouco
1796,1024,1363,3577,2,2,99,2023,Abril,4,3,4065.13,2,2,alto,alta
1547,347,957,1620,1,1,0,2022,Junho,6,1,2025.15,1,1,baixo,pouco
1615,542,678,2948,2,2,99,2019,Março,3,2,3239.9700000000003,2,2,alto,media
1968,861,1259,2323,2,2,99,2021,Dezembro,12,1,2896.6600000000003,1,1,alto,pouco
1447,737,1455,568,1,1,0,2019,Junho,6,2,1199.23,1,1,baixo,media
987,581,820,3963,2,2,99,2023,Agosto,8,3,4088.06,2,2,alto,alta
1979,1331,1532,411,1,1,0,2020,Novembro,11,2,1271.48,1,1,baixo,media
790,347,730,3169,2,2,99,2020,Março,3,2,3263.27,2,2,alto,media
1329,380,682,2308,1,1,25,2022,Fevereiro,2,3,2570.05,1,2,baixo,alta
767,517,1995,2317,2,2,96,2020,Março,3,2,2744.31,1,2,alto,media
640,976,1353,2711,2,2,99,2020,Agosto,8,2,3038.71,2,2,alto,media
1837,786,872,770,1,1,0,2019,Junho,6,1,1356.73,1,1,baixo,pouco
757,114,819,3433,2,2,99,2019,Fevereiro,2,2,3477.1800000000003,2,2,alto,media
822,667,860,3846,2,2,99,2019,Dezembro,12,2,3971.29,2,2,alto,media
1283,372,692,2698,2,2,99,2020,Abril,4,2,2920.6500000000005,1,2,alto,media
951,854,935,1083,1,1,0,2020,Maio,5,2,1499.88,1,1,baixo,media
911,157,763,2638,1,1,40,2023,Abril,4,1,2771.71,1,1,baixo,pouco
878,575,618,3497,2,2,99,2023,Abril,4,2,3599.2300000000005,2,2,alto,media
623,778,844,3510,2,2,99,2020,Abril,4,1,3640.1900000000005,2,2,alto,pouco
1550,1541,1619,1571,2,2,90,2023,Março,3,2,2309.4,1,2,alto,media
1179,85,1451,340,1,1,0,2022,Novembro,11,2,826.95,1,1,baixo,media
704,1108,1509,1122,1,1,0,2020,Setembro,9,3,1641.07,1,2,baixo,alta
935,639,1087,2473,2,2,93,2023,Junho,6,3,2767.9700000000003,1,2,alto,alta
984,1036,1611,898,1,1,0,2021,Dezembro,12,1,1495.3300000000002,1,1,baixo,pouco
1084,322,771,1945,1,1,0,2023,Novembro,11,3,2196.59,1,2,baixo,alta
1163,919,1076,1568,1,1,0,2020,Janeiro,1,1,2024.2000000000003,1,1,baixo,pouco
1325,1353,1915,3707,2,2,99,2019,Março,3,2,4256.05,2,2,alto,media
1715,114,1849,1249,1,1,0,2023,Junho,6,1,1845.6200000000001,1,1,baixo,pouco
719,405,1141,841,1,1,0,2020,Maio,5,1,1195.97,1,1,baixo,pouco
1271,1260,1788,892,1,1,0,2019,Janeiro,1,1,1616.0500000000002,1,1,baixo,pouco
875,300,1316,756,1,1,0,2022,Fevereiro,2,3,1162.81,1,2,baixo,alta
1176,674,1455,1534,1,1,0,2020,Abril,4,2,2025.75,1,1,baixo,media
510,382,1228,2509,1,1,4,2021,Outubro,10,1,2703.44,1,1,baixo,pouco
668,195,1292,1201,1,1,0,2019,Setembro,9,3,1510.47,1,2,baixo,alta
765,1277,1429,2243,2,2,94,2022,Abril,4,2,2697.51,1,2,alto,media
1936,667,1036,2552,2,2,99,2021,Julho,7,3,3025.9100000000003,2,2,alto,alta
737,781,1463,2951,2,2,99,2020,Novembro,11,3,3265.69,2,2,alto,alta
947,1176,1220,2842,2,2,99,2019,Julho,7,3,3226.2900000000004,2,2,alto,alta
1426,1573,1694,1277,1,1,0,2021,Agosto,8,1,2035.0500000000002,1,1,baixo,pouco
1449,1518,1883,1032,1,1,0,2022,Fevereiro,2,2,1840.58,1,1,baixo,media
606,465,1152,1223,1,1,0,2019,Julho,7,3,1538.23,1,2,baixo,alta
1074,946,952,1948,1,1,0,2021,Fevereiro,2,3,2337.92,1,2,baixo,alta
1379,538,1376,3426,2,2,99,2023,Setembro,9,2,3766.83,2,2,alto,media
1433,1619,1651,3900,2,2,99,2023,Novembro,11,3,4449.1900000000005,2,2,alto,alta
557,322,710,2623,1,1,0,2019,Dezembro,12,3,2708.63,1,2,baixo,alta
1907,713,1513,286,1,1,0,2020,Abril,4,1,1034.13,1,1,baixo,pouco
1673,65,734,3669,2,2,99,2019,Outubro,10,1,3843.86,2,2,alto,pouco
1763,238,1893,792,1,1,0,2020,Maio,5,2,1463.74,1,1,baixo,media
969,491,589,404,1,1,0,2020,Janeiro,1,3,751.1700000000001,1,2,baixo,alta
764,361,511,3148,2,2,99,2020,Abril,4,1,3199.78,2,2,alto,pouco
848,7,1294,436,1,1,0,2021,Março,3,2,809.29,1,1,baixo,media
1608,1013,1158,489,1,1,0,2023,Novembro,11,2,1147.63,1,1,baixo,media
819,438,822,1094,1,1,0,2020,Março,3,3,1392.73,1,2,baixo,alta
1702,921,1351,435,1,1,0,2019,Novembro,11,3,1136.8400000000001,1,2,baixo,alta
1062,571,817,1345,1,1,0,2021,Fevereiro,2,3,1691.48,1,2,baixo,alta
563,1263,1716,2603,2,2,99,2023,Abril,4,1,3042.4800000000005,2,2,alto,pouco
1992,649,895,3206,2,2,99,2021,Outubro,10,2,3608.38,2,2,alto,media
1444,1274,1340,712,1,1,0,2021,Maio,5,1,1400.5800000000002,1,1,baixo,pouco
614,22,519,3487,2,2,99,2022,Outubro,10,1,3427.05,2,2,alto,pouco
783,1198,1471,2016,1,1,10,2022,Julho,7,1,2486.6400000000003,1,1,baixo,pouco
518,437,1947,2832,2,2,99,2022,Dezembro,12,2,3148.08,2,2,alto,media
1673,214,679,3094,2,2,99,2022,Maio,5,1,3329.74,2,2,alto,pouco
832,9,1944,3946,2,2,99,2019,Janeiro,1,1,4159.29,2,2,alto,pouco
1837,1420,1539,2294,2,2,99,2021,Julho,7,3,2993.32,1,2,alto,alta
598,680,1173,3293,2,2,99,2019,Agosto,8,2,3481.65,2,2,alto,media
618,1105,1602,2262,2,2,81,2019,Julho,7,2,2690.69,1,2,alto,media
879,463,1038,2927,2,2,99,2020,Março,3,2,3135.78,2,2,alto,media
973,457,1816,2977,2,2,99,2021,Dezembro,12,1,3346.44,2,2,alto,pouco
1944,313,712,2322,2,2,99,2019,Julho,7,1,2694.09,1,1,alto,pouco
1722,865,1741,3271,2,2,99,2020,Abril,4,2,3814.34,2,2,alto,media
1289,765,899,1043,1,1,0,2020,Agosto,8,3,1505.33,1,2,baixo,alta
839,564,1391,3835,2,2,99,2020,Junho,6,1,4047.78,2,2,alto,pouco
1975,775,1607,3022,2,2,99,2022,Dezembro,12,3,3592.57,2,2,alto,alta
601,818,1827,2651,2,2,99,2019,Março,3,1,3039.3,2,2,alto,pouco
1759,382,1163,2107,2,2,98,2023,Janeiro,1,3,2558.56,1,2,alto,alta
919,275,570,1028,1,1,0,2023,Setembro,9,1,1275.42,1,1,baixo,pouco
1174,1097,1461,285,1,1,0,2019,Julho,7,1,949.3399999999999,1,1,baixo,pouco
970,1765,1786,3675,2,2,99,2021,Dezembro,12,2,4204.6900000000005,2,2,alto,media
911,1563,1692,2933,2,2,99,2023,Janeiro,1,2,3458.6400000000003,2,2,alto,media
1980,312,1910,3865,2,2,99,2020,Outubro,10,1,4347.9400000000005,2,2,alto,pouco
644,311,881,1262,1,1,0,2019,Agosto,8,1,1503.6599999999999,1,1,baixo,pouco
825,1471,1866,2915,2,2,99,2019,Julho,7,3,3443.1600000000003,2,2,alto,alta
1063,1208,1232,3809,2,2,99,2019,Janeiro,1,3,4145.6900000000005,2,2,alto,alta
1279,560,1633,1150,1,1,0,2022,Agosto,8,2,1706.48,1,1,baixo,media
958,730,751,1417,1,1,0,2019,Julho,7,3,1752.45,1,2,baixo,alta
